"title","link","pubDate","{http://purl.org/dc/elements/1.1/}creator","guid","{http://purl.org/rss/1.0/modules/content/}encoded","{http://wordpress.org/export/1.2/excerpt/}encoded","{http://wordpress.org/export/1.2/}post_id","{http://wordpress.org/export/1.2/}post_date","{http://wordpress.org/export/1.2/}post_date_gmt","{http://wordpress.org/export/1.2/}comment_status","{http://wordpress.org/export/1.2/}ping_status","{http://wordpress.org/export/1.2/}post_name","{http://wordpress.org/export/1.2/}status","{http://wordpress.org/export/1.2/}post_parent","{http://wordpress.org/export/1.2/}menu_order","{http://wordpress.org/export/1.2/}post_type","{http://wordpress.org/export/1.2/}is_sticky","{http://wordpress.org/export/1.2/}attachment_url","{http://wordpress.org/export/1.2/}postmeta","category","{http://wordpress.org/export/1.2/}comment"
"histologo","http://histomap.eu/histologo/","Thu, 28 Jul 2016 09:49:50 +0000","hm","http://histomap.eu/wp-content/uploads/2016/07/histologo.png","","","5","2016-07-28 11:49:50","2016-07-28 09:49:50","open","closed","histologo","inherit","0","0","attachment","0","http://histomap.eu/wp-content/uploads/2016/07/histologo.png","","",""
"histohighres","http://histomap.eu/histohighres/","Thu, 28 Jul 2016 09:51:07 +0000","hm","http://histomap.eu/wp-content/uploads/2016/07/histohighres.png","","","6","2016-07-28 11:51:07","2016-07-28 09:51:07","open","closed","histohighres","inherit","0","0","attachment","0","http://histomap.eu/wp-content/uploads/2016/07/histohighres.png","","",""
"logonewsize","http://histomap.eu/logonewsize/","Thu, 28 Jul 2016 09:52:55 +0000","hm","http://histomap.eu/wp-content/uploads/2016/07/logonewsize.png","","","7","2016-07-28 11:52:55","2016-07-28 09:52:55","open","closed","logonewsize","inherit","0","0","attachment","0","http://histomap.eu/wp-content/uploads/2016/07/logonewsize.png","","",""
"logowithtext","http://histomap.eu/logowithtext/","Thu, 28 Jul 2016 10:00:29 +0000","hm","http://histomap.eu/wp-content/uploads/2016/07/logowithtext.png","","","8","2016-07-28 12:00:29","2016-07-28 10:00:29","open","closed","logowithtext","inherit","0","0","attachment","0","http://histomap.eu/wp-content/uploads/2016/07/logowithtext.png","","",""
"lgoowithtext2","http://histomap.eu/lgoowithtext2/","Thu, 28 Jul 2016 10:09:41 +0000","hm","http://histomap.eu/wp-content/uploads/2016/07/lgoowithtext2.png","","","10","2016-07-28 12:09:41","2016-07-28 10:09:41","open","closed","lgoowithtext2","inherit","0","0","attachment","0","http://histomap.eu/wp-content/uploads/2016/07/lgoowithtext2.png","","",""
"histomapwithtext2","http://histomap.eu/histomapwithtext2/","Thu, 28 Jul 2016 10:11:06 +0000","hm","http://histomap.eu/wp-content/uploads/2016/07/histomapwithtext2.png","","","11","2016-07-28 12:11:06","2016-07-28 10:11:06","open","closed","histomapwithtext2","inherit","0","0","attachment","0","http://histomap.eu/wp-content/uploads/2016/07/histomapwithtext2.png","","",""
"text3","http://histomap.eu/text3/","Thu, 28 Jul 2016 10:11:31 +0000","hm","http://histomap.eu/wp-content/uploads/2016/07/text3.png","","","12","2016-07-28 12:11:31","2016-07-28 10:11:31","open","closed","text3","inherit","0","0","attachment","0","http://histomap.eu/wp-content/uploads/2016/07/text3.png","","",""
"text4","http://histomap.eu/text4/","Thu, 28 Jul 2016 10:13:10 +0000","hm","http://histomap.eu/wp-content/uploads/2016/07/text4.png","","","13","2016-07-28 12:13:10","2016-07-28 10:13:10","open","closed","text4","inherit","0","0","attachment","0","http://histomap.eu/wp-content/uploads/2016/07/text4.png","","",""
"histologo","http://histomap.eu/histologo-2/","Thu, 28 Jul 2016 10:40:52 +0000","hm","http://histomap.eu/wp-content/uploads/2016/07/histologo.ico","","","16","2016-07-28 12:40:52","2016-07-28 10:40:52","open","closed","histologo-2","inherit","0","0","attachment","0","http://histomap.eu/wp-content/uploads/2016/07/histologo.ico","","",""
"backu2","http://histomap.eu/backu2/","Thu, 28 Jul 2016 12:01:05 +0000","hm","http://histomap.eu/wp-content/uploads/2016/07/backu2.jpg","","","55","2016-07-28 14:01:05","2016-07-28 12:01:05","open","closed","backu2","inherit","0","0","attachment","0","http://histomap.eu/wp-content/uploads/2016/07/backu2.jpg","","",""
